FSP,"Franklin Street Properties",AMEX,True,12.50
MNTX,"Manitex International",NASDAQ,True,10.12
PCYO,"Pure Cycle Corp.",NASDAQ,False,5.41
WDR,"Waddell & Reed Financial",NYSE,True,49.69
T,"AT&T Inc.",NYSE,True,34.35
ATE,"Advantest Corporation Ads",NYSE,True,12.33
CBEY,"Cbeyond",NASDAQ,False,6.63
VET,"Vermilion Energy Inc",NYSE,False,54.74
XPO,"Express-1 Expedited Solutions",NYSE,False,21.99
HGR,"Hanger Orthopedic Group",NYSE,True,32.10
CLR,"Continental Resources",NYSE,True,91.58
GFI,"Gold Fields Ltd",NYSE,True,6.52
PTEK,"Pokertek",NASDAQ,True,1.30
RES,"Rpc",NYSE,True,14.38
BIDU,"Baidu",NASDAQ,True,134.92
CBSH,"Commerce Bancshares",NASDAQ,True,45.11
PBI,"Pitney Bowes Inc",NYSE,True,17.44
PH,"Parker-Hannifin Corp.",NYSE,True,103.77
VIMC,"Vimicro International Corp.",NASDAQ,True,1.45
PTX,"Golf Trust Of America",NASDAQ,False,2.92
IAG,"Iamgold Corp.",NYSE,True,6.46
SLTC,"Selectica",NASDAQ,True,6.20
MHFI,"The Mcgraw-Hill Companies Inc.",NYSE,False,60.30
PRGO,"Perrigo Company",NYSE,False,122.31
ARIA,"Ariad Pharmaceuticals",NASDAQ,True,18.11
SQI,"Sciquest",NASDAQ,False,20.20
OWW,"Orbitz Worldwide",NYSE,True,9.56
UBNK,"United Financial Bancorp",NASDAQ,False,16.19
WLT,"Walter Energy",NYSE,True,13.40
POR,"Portland General Electric Company",NYSE,False,29.26
HTLD,"Heartland Express",NASDAQ,True,14.15
ACH,"Aluminum Corporation Of China Ltd",NYSE,True,8.71
FII,"Federated Investors",NYSE,True,28.43
SJR,"Shaw Communications Inc.",NYSE,True,24.69
CPLA,"Capella Education Company",NASDAQ,False,53.60
ECA,"Encana Corp.",NYSE,True,17.75
LAYN,"Layne Christensen Company",NASDAQ,True,19.11
PQ,"Petroquest Energy Inc",NYSE,True,4.38
DCIX,"Diana Containerships Inc.",NASDAQ,True,3.95
VITC,"Vitacost.Com Inc.",NASDAQ,False,8.80
VOXX,"Audiovox Corp.",NASDAQ,True,12.45
NP,"Neenah Paper",NYSE,True,37.54
KOF,"Coca Cola Femsa S.A.B. De C.V.",NYSE,True,141.26
DHI,"D.R. Horton",NYSE,True,19.12
AT,"Atlantic Power Corp.",NYSE,True,4.13
